Created_On,Source,Industry
1/23/2017,Referral,Finance
1/23/2017,Organic,Telecom
1/23/2017,Direct,SaaS
1/23/2017,Referral,SaaS
1/23/2017,Organic,Finance
1/23/2017,Organic,Telecom
1/23/2017,Email,Education
1/23/2017,Organic,Finance
1/23/2017,Organic,SaaS
1/23/2017,Email,Finance
1/23/2017,Organic,Finance
1/23/2017,Direct,IT
1/23/2017,Organic,SaaS
1/23/2017,Social,Health Care
1/23/2017,Referral,Education
1/23/2017,Email,Retail/Entertainment
1/23/2017,Referral,Telecom
1/23/2017,Referral,SaaS
1/24/2017,Paid,Retail/Entertainment
1/24/2017,Direct,IT
1/24/2017,Email,Finance
1/24/2017,Paid,Health Care
1/24/2017,Direct,Retail/Entertainment
1/24/2017,Referral,SaaS
1/24/2017,Paid,SaaS
1/24/2017,Social,Health Care
1/24/2017,Organic,IT
1/24/2017,Social,IT
1/24/2017,Referral,Telecom
1/24/2017,Organic,SaaS
1/24/2017,Paid,IT
1/24/2017,Referral,Health Care
1/24/2017,Paid,Finance
1/24/2017,Direct,SaaS
1/24/2017,Paid,Finance
1/24/2017,Direct,SaaS
1/24/2017,Social,Telecom
1/24/2017,Email,Education
1/24/2017,Paid,IT
1/24/2017,Social,Telecom
1/24/2017,Referral,SaaS
1/24/2017,Social,Finance
1/24/2017,Organic,SaaS
1/24/2017,Organic,Retail/Entertainment
1/25/2017,Paid,Finance
1/25/2017,Referral,Finance
1/25/2017,Email,Telecom
1/25/2017,Direct,IT
1/25/2017,Referral,SaaS
1/25/2017,Social,Retail/Entertainment
1/25/2017,Organic,Telecom
1/25/2017,Email,Telecom
1/25/2017,Direct,Finance
1/25/2017,Paid,SaaS
1/25/2017,Social,Telecom
1/25/2017,Social,Health Care
1/25/2017,Email,Finance
1/25/2017,Direct,Health Care
1/25/2017,Paid,Telecom
1/25/2017,Email,IT
1/25/2017,Email,IT
1/25/2017,Direct,IT
1/25/2017,Organic,SaaS
1/25/2017,Organic,Telecom
1/25/2017,Social,SaaS
1/25/2017,Direct,Retail/Entertainment
1/25/2017,Direct,Telecom
1/25/2017,Organic,SaaS
1/25/2017,Social,Telecom
1/25/2017,Referral,Finance
1/25/2017,Email,Education
1/25/2017,Social,SaaS
1/25/2017,Paid,Finance
1/25/2017,Social,SaaS
1/25/2017,Email,IT
1/25/2017,Referral,IT
1/25/2017,Paid,Finance
1/26/2017,Email,Health Care
1/26/2017,Organic,SaaS
1/26/2017,Social,Education
1/26/2017,Direct,Telecom
1/26/2017,Paid,Finance
1/26/2017,Social,Telecom
1/26/2017,Referral,Finance
1/26/2017,Organic,IT
1/26/2017,Social,Retail/Entertainment
1/26/2017,Referral,Finance
1/26/2017,Paid,Health Care
1/26/2017,Paid,SaaS
1/26/2017,Paid,SaaS
1/26/2017,Email,Education
1/26/2017,Organic,Health Care
1/26/2017,Social,SaaS
1/26/2017,Direct,SaaS
1/26/2017,Organic,SaaS
1/26/2017,Referral,Health Care
1/26/2017,Email,Health Care
1/26/2017,Email,IT
1/26/2017,Paid,Education
1/26/2017,Direct,Education
1/26/2017,Referral,Retail/Entertainment
1/26/2017,Direct,Health Care
1/26/2017,Organic,Finance
1/26/2017,Social,Education
1/26/2017,Email,Education
1/26/2017,Direct,Finance
1/26/2017,Paid,Telecom
1/26/2017,Email,Retail/Entertainment
1/26/2017,Referral,Finance
1/27/2017,Paid,Retail/Entertainment
1/27/2017,Organic,Finance
1/27/2017,Direct,SaaS
1/27/2017,Social,Telecom
1/27/2017,Email,Finance
1/27/2017,Direct,Health Care
1/27/2017,Referral,Retail/Entertainment
1/27/2017,Social,Telecom
1/27/2017,Social,Finance
1/27/2017,Direct,Finance
1/27/2017,Referral,Finance
1/27/2017,Social,Telecom
1/27/2017,Direct,IT
1/27/2017,Referral,SaaS
1/27/2017,Organic,SaaS
1/27/2017,Direct,SaaS
1/27/2017,Email,Telecom
1/27/2017,Social,Telecom
1/27/2017,Direct,SaaS
1/27/2017,Email,Telecom
1/27/2017,Email,Finance
1/27/2017,Social,Telecom
1/27/2017,Email,SaaS
1/27/2017,Referral,Telecom
1/27/2017,Paid,Retail/Entertainment
1/27/2017,Email,Retail/Entertainment
1/27/2017,Email,Health Care
1/27/2017,Paid,Retail/Entertainment
1/27/2017,Email,SaaS
1/27/2017,Direct,SaaS
1/27/2017,Email,Telecom
1/27/2017,Referral,Finance
1/27/2017,Referral,Finance
1/27/2017,Organic,SaaS
1/27/2017,Organic,SaaS
1/27/2017,Organic,SaaS
1/27/2017,Email,Education
1/27/2017,Social,Education
1/27/2017,Email,Finance
1/27/2017,Paid,Health Care
1/27/2017,Social,Health Care
1/27/2017,Social,Health Care
1/27/2017,Direct,SaaS
1/28/2017,Direct,Education
1/28/2017,Social,Health Care
1/28/2017,Organic,Education
1/28/2017,Organic,Health Care
